zone,model,MAE,RMSE
343,LinearRegression,6.207242309127852,10.005023970795385
343,Ridge,6.2061453264762285,10.00544831479318
346,LinearRegression,405.9345495517997,527.0006705605529
346,Ridge,405.879487663915,526.9511619778311
347,LinearRegression,2.920266400333333,4.010143840620319
347,Ridge,2.9200506408014415,4.01009824821234
348,LinearRegression,12.725839062189413,18.263360807908814
348,Ridge,12.725757659567021,18.26415729658358
406,LinearRegression,1.794925257676884,2.739850463685589
406,Ridge,1.79480250314367,2.7398365771287456
408,LinearRegression,4.198512003098226,5.560713007995266
408,Ridge,4.198336618546899,5.560620481008771
501,LinearRegression,7.057299676185436,9.526392877844398
501,Ridge,7.057468595759953,9.526624749873681
502,LinearRegression,12.300859047641055,16.476090549796684
502,Ridge,12.300651861742336,16.477105840731078
503,LinearRegression,0.3901073085030913,0.44011283126346895
